x,Q2,y,gen,rec,gen_rec,purity,stability
0.013,4.5,0.06656804733727811,4196245.4382997705,3911126.6722134305,213520.10609263397,0.05459299173549809,0.05088360755636538
0.02,4.5,0.04326923076923077,4035146.43609812,4062249.19173825,281283.9720980808,0.06924340650252389,0.06970849176172028
0.032,4.5,0.02704326923076923,4000625.2213406237,3787963.6927155866,349047.8381035276,0.09214656380544546,0.08724832214764683
0.05,4.5,0.01730769230769231,3794776.4963051816,3597019.7091626218,342655.02055584395,0.09526081263413852,0.09029649595686942
0.08,4.5,0.010817307692307692,3775598.043662128,2979109.6507749297,286398.2261362277,0.09613551017221855,0.07585506264815117
0.13,4.5,0.006656804733727811,2699047.5686320523,1732030.0502852579,136806.29552043002,0.07898609813259222,0.050686878256750036
0.002,6.5,0.625,2757861.49007075,1671968.0074673397,141920.54955857695,0.08488233562169355,0.051460361613351414
0.0032,6.5,0.390625,3129923.47134599,1890863.3092870533,182834.5818637524,0.09669370650207912,0.05841503267973716
0.005,6.5,0.25,3218144.3535040366,2271954.389292719,181556.01835421566,0.07991182358671196,0.05641636869288683
0.008,6.5,0.15625,3346000.7044577273,2521332.100358146,196898.78046865645,0.07809315577296927,0.05884600687810287
0.013,6.5,0.09615384615384616,3221980.0440326473,2770012.9048430203,193063.08994004625,0.06969754169827139,0.0599206349206333
0.02,6.5,0.0625,3146544.7969699698,2908577.1309073167,227584.30469753803,0.07824592385024501,0.07232832182039646
0.032,6.5,0.0390625,3115859.272741084,2962973.706339834,291512.48017437465,0.09838510532531201,0.09355765285186493
0.05,6.5,0.025,2773204.252185193,2658742.4483637535,288955.3531553012,0.10868121255337479,0.1041954817888419
0.08,6.5,0.015625,2746354.418484918,2315423.5695121,264662.64647410327,0.11430420332547288,0.09636871508379817
0.13,6.5,0.009615384615384616,2114744.0447736857,1408795.176713894,136806.29552043002,0.0971087194091192,0.0646916565900866
0.2,6.5,0.00625,1898666.8116619848,899684.9193691562,93335.13619618112,0.10374202588793656,0.0491582491582506
0.002,8.5,0.8173076923076923,1307970.4702560413,587349.9988591512,28128.397209807976,0.04789035032679599,0.02150537634408651
0.0032,8.5,0.5108173076923077,1605875.7679780864,910115.7541723086,54978.230910079204,0.06040795432673105,0.03423566878980979
0.005,8.5,0.3269230769230769,1694096.650136117,1022846.4249401883,63928.17547683628,0.06250026779980634,0.037735849056604764
0.008,8.5,0.20432692307692307,1703046.5947028736,1186649.0386836508,69042.4295149832,0.05818268693123616,0.04054054054054162
0.013,8.5,0.1257396449704142,1723503.6108554604,1246622.194141935,92056.57268664439,0.07384480488092708,0.05341246290801337
0.02,8.5,0.08173076923076923,1669803.94345492,1339190.0006813959,81828.06461035053,0.06110265501438588,0.049004594180705775
0.032,8.5,0.05108173076923077,1564961.7356729128,1375622.2446643654,120184.9698964525,0.08736771331127764,0.07679738562091715
0.05,8.5,0.032692307692307694,1490805.0521197857,1311386.2021620842,125299.22393459943,0.09554715744913164,0.08404802744425613
0.08,8.5,0.020432692307692308,1430712.567171562,1194531.8580106916,106120.77129154844,0.08883879536563906,0.07417336907953721
0.13,8.5,0.01257396449704142,1066321.9669536098,813144.1423760887,51142.54038146903,0.0628948026754831,0.04796163069544452
0.2,8.5,0.008173076923076924,976822.5212860426,483435.5452807456,35799.77826702833,0.07405284658214016,0.036649214659686465
0.32,8.5,0.005108173076923077,648231.6993351174,73605.55488476528,5114.254038146908,0.06948190318181333,0.007889546351084851
0.0032,10.0,0.6009615384615384,968009.8769120916,572961.8003375013,20927.70928511059,0.036525487864606666,0.02161931379447186
0.005,10.0,0.38461538461538464,1083927.596621603,575085.7904192209,35171.870873443746,0.061159346065227015,0.03244854267302337
0.008,10.0,0.24038461538461536,1119938.8884387983,674085.8937203513,36913.54460804766,0.05476089167853359,0.032960320414898145
0.013,10.0,0.14792899408284024,1142146.380170346,743525.9004280394,45133.616459884615,0.060702144247969984,0.03951649039342325
0.02,10.0,0.09615384615384616,1091263.0193712143,830288.2233849941,47450.38652209462,0.05714929489020643,0.04348208056150893
0.032,10.0,0.06009615384615384,1054100.3159619304,822709.3982438517,61591.36385221799,0.07486405768998187,0.058430267897237216
