Q2,x,y,sigma_red_0,sigma_red_unc
3.5,0.008,0.0841346153846153,0.41200129677295766,0.007871272843548917
3.5,0.013,0.051775147928994,0.3951593608264398,0.007463070345176628
3.5,0.02,0.0336538461538461,0.3847726557669817,0.006217936684768203
3.5,0.032,0.0210336538461538,0.3758838556022264,0.006129514991302687
3.5,0.05,0.0134615384615384,0.3676563155842547,0.005014397959587529
3.5,0.08,0.0084134615384615,0.3597720459147389,0.005250578954898223
3.5,0.13,0.0051775147928994,0.3546128521415599,0.004812387771704595
4.5,0.0013,0.6656804733727811,0.5582868252406136,0.012808446130515086
4.5,0.002,0.4326923076923076,0.543629743406172,0.008362511016380785
4.5,0.0032,0.2704326923076923,0.5133001478104953,0.008190187352960962
4.5,0.005,0.173076923076923,0.4832015735714501,0.008155427421400765
4.5,0.008,0.1081730769230769,0.4541335208519169,0.0073007387836361
4.5,0.013,0.0665680473372781,0.42887047577244847,0.006939954953892699
4.5,0.02,0.0432692307692307,0.41125806344065374,0.005817050522455275
4.5,0.032,0.0270432692307692,0.3952540438529853,0.005701432519656274
4.5,0.05,0.0173076923076923,0.38145548066892376,0.004722610250748458
4.5,0.08,0.0108173076923076,0.36866403021784316,0.004647616261220755
4.5,0.13,0.0066568047337278,0.3586130159432369,0.004299566545896322
6.5,0.002,0.625,0.6075306767153504,0.007760650026934816
6.5,0.0032,0.390625,0.587890857159386,0.007316532352492631
6.5,0.005,0.25,0.5515986525996307,0.007305455538859908
6.5,0.008,0.15625,0.5115600699399788,0.006612724230194799
6.5,0.013,0.0961538461538461,0.47449691953354556,0.006303891806647095
6.5,0.02,0.0625,0.44680312562401336,0.005313840959119105
6.5,0.032,0.0390625,0.42099303941786875,0.0051932627797628235
6.5,0.05,0.025,0.3993716499406503,0.004382628167591818
6.5,0.08,0.015625,0.3797739751287521,0.00406246653513531
6.5,0.13,0.0096153846153846,0.3629744354752948,0.0037549078017346
6.5,0.2,0.00625,0.34091414383008,0.0032328187881776674
8.5,0.002,0.8173076923076923,0.6192942956215983,0.008027599417950757
8.5,0.0032,0.5108173076923077,0.6302098689495065,0.006904524439897324
8.5,0.005,0.3269230769230769,0.5962129015761342,0.006828203015791588
8.5,0.008,0.204326923076923,0.5502296261180432,0.0062066601643830455
8.5,0.013,0.1257396449704142,0.5052610066171008,0.005919217060822702
8.5,0.02,0.0817307692307692,0.47061320286449293,0.005007724196356082
8.5,0.032,0.0510817307692307,0.43804457490702026,0.004895369314875272
8.5,0.05,0.0326923076923076,0.4110456959476875,0.004180653917244744
8.5,0.08,0.0204326923076923,0.3865788281464874,0.003769455442953736
8.5,0.13,0.0125739644970414,0.3652561076349789,0.0034653266065656917
8.5,0.2,0.0081730769230769,0.3389470979437309,0.0030442107443400873
8.5,0.32,0.005108173076923,0.26502772261311547,0.003381612877825106
10.0,0.0032,0.6009615384615384,0.647059770881937,0.006762579702529361
10.0,0.005,0.3846153846153846,0.6200517936126718,0.0065937522870877655
10.0,0.008,0.2403846153846153,0.5721512594119785,0.005996228827651087
10.0,0.013,0.1479289940828402,0.5228968171315311,0.0057154805427332925
10.0,0.02,0.0961538461538461,0.4842408120914924,0.004845625474032102
10.0,0.032,0.0600961538461538,0.44773574499961966,0.004740091770598935
10.0,0.05,0.0384615384615384,0.41758898179569354,0.004073276629358732
10.0,0.08,0.0240384615384615,0.3903122577735676,0.0036289978028763454
10.0,0.13,0.014792899408284,0.3663334633515059,0.003322412639062815
10.0,0.2,0.0096153846153846,0.3375873702217005,0.0029538268784387012
10.0,0.32,0.0060096153846153,0.26154777657604666,0.003231556307344902
12.0,0.0032,0.7211538461538461,0.6537029108202037,0.006731172381276163
12.0,0.005,0.4615384615384615,0.6425691989,0.0063794027638316795
12.0,0.008,0.2884615384615384,0.5950982090851398,0.005790222316600371
12.0,0.013,0.1775147928994083,0.5417585618747378,0.005511267473319927
12.0,0.02,0.1153846153846153,0.4988448600114994,0.004683591373690818
12.0,0.032,0.0721153846153846,0.4580736484470427,0.0045858941782081705
12.0,0.05,0.0461538461538461,0.42449272760283285,0.003964570433775259
12.0,0.08,0.0288461538461538,0.3941506856724113,0.0034959363860006614
12.0,0.13,0.0177514792899408,0.36730462112467277,0.0031854212388177645
12.0,0.2,0.0115384615384615,0.3359430878994078,0.002868014212095633
12.0,0.32,0.0072115384615384,0.25766214862590064,0.003079377858309134
15.0,0.0032,0.9014423076923076,0.6375606395239269,0.006950265046915158
15.0,0.005,0.5769230769230769,0.6609443252047521,0.0061924759385867025
15.0,0.008,0.3605769230769231,0.6200755829463876,0.00557961379931881
15.0,0.013,0.2218934911242603,0.5633982335126448,0.0052939513135016195
15.0,0.02,0.1442307692307692,0.5157475607531347,0.004511693817217842
15.0,0.032,0.0901442307692307,0.4700005940141952,0.004422842383696861
15.0,0.05,0.0576923076923076,0.4323609802563961,0.0038459709129028074
15.0,0.08,0.0360576923076923,0.39839343781256353,0.0033600677667046026
15.0,0.13,0.022189349112426,0.3680951687342364,0.0030445524843939853
15.0,0.2,0.0144230769230769,0.33379581584426066,0.0027801193394590513
15.0,0.32,0.009014423076923,0.25296053400122537,0.00291354523981075
15.0,0.5,0.0057692307692307,0.12396777773835757,0.0020635822432119653
18.0,0.005,0.6923076923076923,0.6645656576314747,0.006115716844775352
