x,Q2,y,gen,rec,gen_rec,purity,stability
0.013,3.5,0.10355029585798818,4180857.0372450044,3714661.187054612,1147857.0766491464,0.30900720653861097,0.2745506642354679
0.02,3.5,0.0673076923076923,4129671.759633509,4061636.528991755,1169638.0458455228,0.28797211111745374,0.28322784810125523
0.032,3.5,0.04206730769230769,3993540.7021561274,4206551.82693854,1260029.0680104848,0.2995396514411932,0.31551677120260485
0.05,3.5,0.026923076923076925,4061061.7066649087,4014663.7396378242,1251316.6803319342,0.31168654748774044,0.3081255028157553
0.08,3.5,0.016826923076923076,4027301.204410518,3620212.63881076,1176172.3366044357,0.3248904011867127,0.29204975662519234
0.13,3.5,0.010355029585798817,3079829.0443679425,2444985.6450842908,536900.8906907339,0.21959265559296332,0.17432814710042432
0.2,3.5,0.006730769230769231,2714997.81032856,1979016.609863473,334337.8771644119,0.16894142044996627,0.12314480545527638
0.002,4.5,0.8653846153846153,2169384.5319592147,1023459.7785741435,374632.6701777125,0.366045327838521,0.1726907630522166
0.0032,4.5,0.5408653846153846,3254076.797938991,1715293.720423627,716593.8865608583,0.41776745173641794,0.22021419009370702
0.005,4.5,0.34615384615384615,3640689.0011747545,2165369.402089217,1018260.3099307036,0.47024785191305174,0.279688902183663
0.008,4.5,0.21634615384615383,3863943.93543766,2604913.8631109796,1031328.8914485308,0.39591669653784334,0.2669109357384386
0.013,4.5,0.13313609467455623,3892259.1953929556,3141206.16168398,1092315.6051983866,0.3477376361100742,0.2806379406827012
0.02,4.5,0.08653846153846154,3874834.4200358507,3545878.5587975685,1105384.1867162124,0.3117377452123052,0.2852726250702566
0.032,4.5,0.05408653846153846,3734347.168719193,3696405.317819129,1176172.3366044357,0.3181935517012985,0.3149606299212506
0.05,4.5,0.03461538461538462,3769196.7194334026,3706898.455463131,1270919.552608673,0.3428525404400071,0.3371857844553472
0.08,4.5,0.021634615384615384,3608017.547380183,3282396.37110325,1153302.3189482405,0.35135985681113907,0.31964986417143804
0.13,4.5,0.013313609467455622,2881622.224680875,2144302.6475924305,594620.4590611375,0.2773024879341368,0.20634920634920795
0.2,4.5,0.008653846153846154,2408975.1931194062,1938268.1869110784,380077.9124768072,0.19609149809269608,0.15777576853526684
0.32,4.5,0.005408653846153846,1538825.4737241026,1226699.6825012362,132863.91209790876,0.10831005664483398,0.08634111818825405
0.0032,6.5,0.78125,2316406.074034787,1086021.0462155836,438886.52930702973,0.4041234107169479,0.1894687353079522
0.005,6.5,0.5,2731333.5372258457,1374942.5107529631,625113.8159360677,0.45464723873708374,0.22886762360446897
0.008,6.5,0.3125,2779251.669457884,1791688.806909292,800450.6179669164,0.44675761487158794,0.28800940438871836
0.013,6.5,0.19230769230769232,3005773.749100247,2154526.3627896328,888663.5432122502,0.41246352727920604,0.2956521739130446
0.02,6.5,0.125,2963300.859167304,2700721.4068738376,920245.9485469994,0.34074079103635146,0.3105475927967676
0.032,6.5,0.078125,2943697.986890561,2928445.1009458397,938759.7723639213,0.32056594540929495,0.3189049204587515
0.05,6.5,0.05,2904492.242337075,2897114.653953655,969253.1292388515,0.3345580845121625,0.3337082864641946
0.08,6.5,0.03125,2780340.717917703,2666133.388069269,895197.8339711638,0.33576633411407764,0.3219741480611087
0.13,6.5,0.019230769230769232,2058301.5890576795,1754950.4647371513,502051.339976528,0.28607721418035753,0.2439153439153562
0.2,6.5,0.0125,1910190.99852232,1491850.0541911302,371365.5247982557,0.24892952462277268,0.19441277080958688
0.32,6.5,0.0078125,1197953.305800812,1018275.8797366499,142665.34823627918,0.14010480958576355,0.11909090909090964
0.005,8.5,0.6538461538461539,1342796.750956715,654233.4454426102,200384.9166066828,0.3062896249076901,0.14922952149229782
0.008,8.5,0.40865384615384615,1424475.3854431265,772944.0407717478,266816.87265563785,0.34519558801337535,0.1873088685015335
0.013,8.5,0.2514792899408284,1499619.729170625,973006.0933940948,353940.74944115273,0.3637600543759357,0.2360203340595566
0.02,8.5,0.16346153846153846,1526845.9406660956,1230404.2542087482,399680.78475354804,0.3248369658885614,0.26176890156919497
