Q2,x,y,sigma_red_0,sigma_red_unc_+,sigma_red_unc_-
1000.0,0.65,0.15385,0.018698,0.00064864,0.00066653
1200.0,0.13,0.92308,0.39969,0.0042547,0.0045481
1200.0,0.18,0.66667,0.3452,0.0031374,0.0035571
1200.0,0.25,0.48,0.2729,0.0022205,0.002417
1200.0,0.4,0.3,0.14176,0.0018352,0.0019796
1200.0,0.65,0.18462,0.018336,0.00064031,0.00065695
1500.0,0.18,0.83333,0.35479,0.0035281,0.0040616
1500.0,0.25,0.6,0.28034,0.0023616,0.002647
1500.0,0.4,0.375,0.14299,0.0018466,0.0019843
1500.0,0.65,0.23077,0.018013,0.00063463,0.000649
2000.0,0.25,0.8,0.29445,0.0026762,0.003115
2000.0,0.4,0.5,0.14735,0.0019129,0.0020245
2000.0,0.65,0.30769,0.017849,0.0006396,0.00064711
3000.0,0.4,0.75,0.16017,0.0021752,0.0021776
3000.0,0.65,0.46154,0.018319,0.00069636,0.00066904
5000.0,0.65,0.76923,0.020434,0.00093175,0.00075501
