Q2,x,y,gen,rec,gen_rec,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p_opt,sigma_p2p_pess,sigma_norm_opt,sigma_norm_pess
2.7,0.0013,0.7988165680473374,3694052.375705888,2841747.291815723,2513523.8452620357,0.8844994248788496,0.6804245283018576,0.4142349570347274,0.0213378171989295,0.05932083733295829,1.2,4.2,2.5,4.3
2.7,0.002,0.5192307692307693,4594695.451976073,4472793.877267247,3596038.0143221733,0.8039802666961378,0.7826499170419663,0.4034614533742691,0.0117335207156295,0.04728360249340407,1.2,4.2,2.5,4.3
2.7,0.0032,0.3245192307692308,5161000.651081738,5536937.928091718,4116603.17811568,0.7434801024642244,0.797636632200937,0.3887849459592691,0.0103791673371788,0.042497675158966304,1.2,4.2,2.5,4.3
2.7,0.005,0.2076923076923077,5474646.607509491,5880861.683021824,4171055.601106633,0.7092592592593295,0.7618858165904733,0.3759951682437178,0.0098830913825579,0.04123628357274928,1.2,4.2,2.5,4.3
2.7,0.008,0.1298076923076923,5448509.444473845,5836210.696169262,3809491.512446708,0.6527337189774796,0.6991804917050272,0.365683183797343,0.0086378705374544,0.041393725839010874,1.2,4.2,2.5,4.3
2.7,0.013,0.0798816568047337,5566126.678134252,5828587.356950532,3390207.8554163724,0.581651718983603,0.6090784582273933,0.3580974199251288,0.0079974118159071,0.04142078688144117,1.2,4.2,2.5,4.3
2.7,0.02,0.0519230769230769,5665230.087977744,5797076.8044066485,2762915.9425605983,0.476605026253985,0.4876970396001774,0.3553743576996562,0.0067597460224973,0.041533207598497886,1.2,4.2,2.5,4.3
2.7,0.032,0.032451923076923,5606421.47114754,5871060.246883457,2086616.8490129688,0.3554071600816242,0.3721833721833748,0.3541482574218708,0.0066281928930993,0.04127069015660139,1.2,4.2,2.5,4.3
2.7,0.05,0.0207692307692307,5516030.448982597,5004249.525658717,1374379.1562914609,0.2746424112635648,0.2491609081934922,0.3521389832505963,0.0053706598403642,0.044702367198921164,1.2,4.2,2.5,4.3
2.7,0.08,0.0129807692307692,5461578.025991668,3484955.07142063,869060.6709355094,0.249374999999997,0.1591226321036973,0.349126718585838,0.0061541836249686,0.05356750369748749,1.2,4.2,2.5,4.3
2.7,0.13,0.0079881656804733,4271248.059409953,1681490.821960368,370276.4763384368,0.2202072538860185,0.0866904640489525,0.3493636328657424,0.0055006623579946,0.07711746577948282,1.2,4.2,2.5,4.3
2.7,0.2,0.0051923076923076,3526338.912893754,1119541.816693857,205830.15890577747,0.1838521400778212,0.0583693638048167,0.3432722384959308,0.0045351553652097,0.09451045197596716,1.2,4.2,2.5,4.3
3.5,0.002,0.673076923076923,3343378.771644153,2910572.9031568905,2483030.488387102,0.8531071273610553,0.742671009771961,0.44989486059426,0.0112146122098469,0.058615268550666996,1.2,4.2,2.5,4.3
3.5,0.0032,0.4206730769230769,3706031.9087638976,3601698.814993836,2834793.140908656,0.7870711257441739,0.7649133117836988,0.4442540072223079,0.0094557455702063,0.05269219659505196,1.2,4.2,2.5,4.3
3.5,0.005,0.2692307692307692,3990273.5567766703,4097000.3058389374,3004684.700640428,0.7333864965443693,0.7530021834060926,0.4284174885326315,0.0089877533220496,0.04940455613433502,1.2,4.2,2.5,4.3
3.5,0.008,0.1682692307692307,4234220.411776121,4387848.097401397,3074383.802068847,0.7006586677167745,0.7260802469135613,0.4104438785412367,0.007900863328878,0.047739097867436034,1.2,4.2,2.5,4.3
3.5,0.013,0.1035502958579881,4180857.037245005,4323522.385481245,2755292.603341865,0.6372795969773098,0.6590257879655885,0.3946110251906008,0.0074730729621479,0.048092919737428984,1.2,4.2,2.5,4.3
3.5,0.02,0.0673076923076923,4129671.759633509,4196103.71568247,2429667.113855968,0.5790293277964884,0.5883438818565064,0.3845558452716608,0.0062223073179619,0.04881765264601359,1.2,4.2,2.5,4.3
3.5,0.032,0.0420673076923076,3993540.702156128,4091555.063539842,1873163.35088848,0.4578120841096288,0.4690482683392089,0.37580701372191,0.0061307233831589,0.04943742020777202,1.2,4.2,2.5,4.3
