Q2,x,y,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p,sigma_norm
8.5,0.08,0.0204326923076923,0.2580645161290384,0.2073279714030442,0.3865788281464874,0.0037694554429537,0.0932736563235342,1.2,2.5
8.5,0.13,0.0125739644970414,0.1687500000000006,0.0971223021582753,0.3652561076349789,0.0034653266065656,0.1276492385781622,1.2,2.5
8.5,0.2,0.0081730769230769,0.1935483870967735,0.0863874345549753,0.3389470979437309,0.00304421074434,0.15144734277054736,1.2,2.5
8.5,0.32,0.005108173076923,0.1842105263157888,0.0552268244575939,0.2650277226131154,0.0033816128778251,0.22683864965573047,1.2,2.5
10.0,0.0032,0.6009615384615384,0.830780857513366,0.4402732671680263,0.647059770881937,0.0067625797025293,0.13961824931975658,1.2,2.5
10.0,0.005,0.3846153846153846,0.8222201844181904,0.6059224626674995,0.6200517936126718,0.0065937522870877,0.11188848766513884,1.2,2.5
10.0,0.008,0.2403846153846153,0.765083214570497,0.7188232601546781,0.5721512594119785,0.005996228827651,0.097486867004825,1.2,2.5
10.0,0.013,0.1479289940828402,0.6928303967242382,0.6985817904325096,0.5228968171315311,0.0057154805427332,0.09318455859952607,1.2,2.5
10.0,0.02,0.0961538461538461,0.6309296132754768,0.6452681497520995,0.4842408120914924,0.0048456254740321,0.09465762908979886,1.2,2.5
10.0,0.032,0.0600961538461538,0.5206224136622145,0.5118220822332199,0.4477357449996196,0.0047400917705989,0.09823380111877619,1.2,2.5
10.0,0.05,0.0384615384615384,0.390189017331368,0.4070836479759248,0.4175889817956935,0.0040732766293587,0.10023563030518477,1.2,2.5
10.0,0.08,0.0240384615384615,0.2979290905968634,0.2789309101193123,0.3903122577735676,0.0036289978028763,0.10844167372001344,1.2,2.5
10.0,0.13,0.014792899408284,0.2473112166974156,0.1637964876612682,0.3663334633515059,0.0033224126390628,0.14073468731875433,1.2,2.5
10.0,0.2,0.0096153846153846,0.2022769847462758,0.0902187831920303,0.3375873702217005,0.0029538268784387,0.1851872637007762,1.2,2.5
10.0,0.32,0.0060096153846153,0.1292570235282429,0.0447807214415028,0.2615477765760466,0.0032315563073449,0.27114318093345785,1.2,2.5
12.0,0.0032,0.7211538461538461,0.8588583879884916,0.396976197773021,0.6537029108202037,0.0067311723812761,0.15302551240283543,1.2,2.5
12.0,0.005,0.4615384615384615,0.8531380025224918,0.5291912660481755,0.6425691989,0.0063794027638316,0.12651884244684605,1.2,2.5
12.0,0.008,0.2884615384615384,0.8097758405977618,0.7053240531501447,0.5950982090851398,0.0057902223166003,0.10485908508847633,1.2,2.5
12.0,0.013,0.1775147928994083,0.7235216819973521,0.7349172450613924,0.5417585618747378,0.0055112674733199,0.09634218725238344,1.2,2.5
12.0,0.02,0.1153846153846153,0.6701756230916932,0.6824738550306576,0.4988448600114994,0.0046835913736908,0.0968502694723618,1.2,2.5
12.0,0.032,0.0721153846153846,0.594599697885203,0.5842300556586337,0.4580736484470427,0.0045858941782081,0.10001507701853828,1.2,2.5
12.0,0.05,0.0461538461538461,0.4728721773781639,0.4603143027650778,0.4244927276028328,0.0039645704337752,0.1040470246646001,1.2,2.5
12.0,0.08,0.0288461538461538,0.3684505778077087,0.3455750815532055,0.3941506856724113,0.0034959363860006,0.10902911992577079,1.2,2.5
12.0,0.13,0.0177514792899408,0.2582081246522216,0.1973908111174329,0.3673046211246727,0.0031854212388177,0.14019089032020343,1.2,2.5
12.0,0.2,0.0115384615384615,0.2397973543484511,0.1342578001891057,0.3359430878994078,0.0028680142120956,0.1726858911131167,1.2,2.5
