Q2_centre	    Q2_low_edge	    Q2_high_edge	x_centre	    x_low_edge	    x_high_edge
9.000000e+01	7.937254e+01	1.039230e+02	8.000000e-01	7.211103e-01	8.875203e-01
1.200000e+02	1.039230e+02	1.341641e+02	5.000000e-02	4.000000e-02	6.324555e-02
1.200000e+02	1.039230e+02	1.341641e+02	8.000000e-02	6.324555e-02	1.019804e-01
1.200000e+02	1.039230e+02	1.341641e+02	1.300000e-01	1.019804e-01	1.529706e-01
1.200000e+02	1.039230e+02	1.341641e+02	1.800000e-01	1.529706e-01	1.897367e-01
1.200000e+02	1.039230e+02	1.341641e+02	2.500000e-01	2.236068e-01	2.828427e-01
1.200000e+02	1.039230e+02	1.341641e+02	4.000000e-01	3.577709e-01	4.472136e-01
1.200000e+02	1.039230e+02	1.341641e+02	6.500000e-01	5.700877e-01	7.211103e-01
1.500000e+02	1.341641e+02	1.732051e+02	8.000000e-02	6.324555e-02	1.019804e-01
1.500000e+02	1.341641e+02	1.732051e+02	1.300000e-01	1.019804e-01	1.529706e-01
1.500000e+02	1.341641e+02	1.732051e+02	1.800000e-01	1.529706e-01	1.897367e-01
1.500000e+02	1.341641e+02	1.732051e+02	2.500000e-01	2.236068e-01	2.828427e-01
1.500000e+02	1.341641e+02	1.732051e+02	4.000000e-01	3.577709e-01	4.472136e-01
1.500000e+02	1.341641e+02	1.732051e+02	6.500000e-01	5.700877e-01	7.211103e-01
2.000000e+02	1.732051e+02	2.236068e+02	1.300000e-01	1.019804e-01	1.529706e-01
2.000000e+02	1.732051e+02	2.236068e+02	1.800000e-01	1.529706e-01	1.897367e-01
2.000000e+02	1.732051e+02	2.236068e+02	2.500000e-01	2.236068e-01	2.828427e-01
2.000000e+02	1.732051e+02	2.236068e+02	4.000000e-01	3.577709e-01	4.472136e-01
2.000000e+02	1.732051e+02	2.236068e+02	6.500000e-01	5.700877e-01	7.211103e-01
2.500000e+02	2.236068e+02	2.738613e+02	1.300000e-01	1.019804e-01	1.529706e-01
2.500000e+02	2.236068e+02	2.738613e+02	1.800000e-01	1.529706e-01	1.897367e-01
2.500000e+02	2.236068e+02	2.738613e+02	2.500000e-01	2.236068e-01	2.828427e-01
2.500000e+02	2.236068e+02	2.738613e+02	4.000000e-01	3.577709e-01	4.472136e-01
2.500000e+02	2.236068e+02	2.738613e+02	6.500000e-01	5.700877e-01	7.211103e-01
3.000000e+02	2.738613e+02	3.464102e+02	1.300000e-01	1.019804e-01	1.529706e-01
3.000000e+02	2.738613e+02	3.464102e+02	1.800000e-01	1.529706e-01	1.897367e-01
3.000000e+02	2.738613e+02	3.464102e+02	2.500000e-01	2.236068e-01	2.828427e-01
3.000000e+02	2.738613e+02	3.464102e+02	4.000000e-01	3.577709e-01	4.472136e-01
3.000000e+02	2.738613e+02	3.464102e+02	6.500000e-01	5.700877e-01	7.211103e-01
4.000000e+02	3.464102e+02	4.472136e+02	1.800000e-01	1.529706e-01	1.897367e-01
4.000000e+02	3.464102e+02	4.472136e+02	2.500000e-01	2.236068e-01	2.828427e-01
4.000000e+02	3.464102e+02	4.472136e+02	4.000000e-01	3.577709e-01	4.472136e-01
4.000000e+02	3.464102e+02	4.472136e+02	6.500000e-01	5.700877e-01	7.211103e-01
5.000000e+02	4.472136e+02	5.700877e+02	2.500000e-01	2.236068e-01	2.828427e-01
5.000000e+02	4.472136e+02	5.700877e+02	4.000000e-01	3.577709e-01	4.472136e-01
5.000000e+02	4.472136e+02	5.700877e+02	6.500000e-01	5.700877e-01	7.211103e-01
6.500000e+02	5.700877e+02	7.211103e+02	4.000000e-01	3.577709e-01	4.472136e-01
6.500000e+02	5.700877e+02	7.211103e+02	6.500000e-01	5.700877e-01	7.211103e-01
8.000000e+02	7.211103e+02	8.944272e+02	4.000000e-01	3.577709e-01	4.472136e-01
8.000000e+02	7.211103e+02	8.944272e+02	6.500000e-01	5.700877e-01	7.211103e-01
1.000000e+03	8.944272e+02	1.095445e+03	6.500000e-01	5.700877e-01	7.211103e-01
1.200000e+03	1.095445e+03	1.341641e+03	6.500000e-01	5.700877e-01	7.211103e-01
1.500000e+03	1.341641e+03	1.677051e+03	6.500000e-01	5.700877e-01	7.211103e-01
